server_name,environment,region,timestamp,cpu_usage,memory_usage,query_time_ms,active_connections,status
DB-PROD-01,Production,us-east-1,2024-06-01 07:15:00,31.36,82.9,49.38,127,Warning
DB-PROD-02,Production,us-west-2,2024-06-01 07:15:00,68.74,44.47,123.41,83,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 07:15:00,83.8,42.88,16.24,101,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 07:15:00,15.82,78.84,13.03,37,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 07:30:00,5.0,60.44,84.05,166,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 07:30:00,37.54,64.73,43.51,162,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 07:30:00,54.0,53.02,100.52,118,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 07:30:00,33.81,37.45,75.16,155,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 07:45:00,5.74,75.31,175.19,36,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 07:45:00,26.12,56.65,1.88,138,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 07:45:00,46.85,83.67,69.3,12,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 07:45:00,70.32,59.69,144.81,92,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 08:00:00,33.74,31.01,6.91,60,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 08:00:00,22.56,44.93,105.28,41,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 08:00:00,39.97,48.61,32.33,12,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 08:00:00,63.59,56.01,40.14,142,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 08:15:00,28.73,93.09,27.28,94,Critical
DB-PROD-02,Production,us-west-2,2024-06-01 08:15:00,62.99,62.88,116.73,47,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 08:15:00,72.21,74.11,40.46,188,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 08:15:00,34.61,65.76,36.08,88,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 08:30:00,72.57,34.3,99.16,142,Warning
DB-PROD-02,Production,us-west-2,2024-06-01 08:30:00,36.11,76.3,92.29,26,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 08:30:00,34.37,30.03,195.68,62,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 08:30:00,17.04,45.97,43.33,124,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 08:45:00,5.0,85.48,43.95,127,Warning
DB-PROD-02,Production,us-west-2,2024-06-01 08:45:00,21.84,63.42,59.62,34,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 08:45:00,38.75,69.33,55.06,187,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 08:45:00,12.69,62.56,86.24,101,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 09:00:00,35.28,53.85,39.78,142,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 09:00:00,11.32,52.13,22.65,87,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 09:00:00,15.63,37.6,4.84,56,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 09:00:00,26.01,58.21,103.41,72,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 09:15:00,43.56,55.53,38.46,65,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 09:15:00,87.48,50.34,23.02,139,Critical
DB-STAGE-01,Staging,eu-central-1,2024-06-01 09:15:00,57.03,40.18,112.79,116,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 09:15:00,20.55,56.19,29.66,124,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 09:30:00,23.79,41.43,23.68,48,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 09:30:00,18.77,45.18,19.84,53,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 09:30:00,25.95,37.1,32.12,147,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 09:30:00,39.84,77.2,4.55,120,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 09:45:00,48.03,79.7,44.16,92,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 09:45:00,9.54,37.96,114.95,73,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 09:45:00,5.0,69.12,215.31,130,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 09:45:00,32.77,51.42,8.29,121,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 10:00:00,32.36,48.8,16.78,104,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 10:00:00,43.48,68.62,124.68,88,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 10:00:00,28.46,66.33,9.37,188,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 10:00:00,51.33,67.48,38.29,35,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 10:15:00,58.66,43.57,10.35,127,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 10:15:00,21.81,64.58,66.64,149,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 10:15:00,45.19,41.44,17.03,46,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 10:15:00,55.29,55.16,19.33,12,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 10:30:00,37.03,48.89,7.22,160,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 10:30:00,12.0,58.44,57.69,93,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 10:30:00,56.71,38.05,71.4,152,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 10:30:00,5.0,43.05,21.45,58,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 10:45:00,49.03,64.66,26.26,126,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 10:45:00,43.39,56.34,10.0,44,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 10:45:00,43.67,60.3,2.46,102,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 10:45:00,46.75,48.82,11.26,39,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 11:00:00,31.15,61.88,13.44,87,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 11:00:00,5.0,60.41,104.86,98,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 11:00:00,29.98,83.61,62.55,41,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 11:00:00,5.0,49.73,68.84,152,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 11:15:00,5.0,69.95,24.84,62,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 11:15:00,44.71,66.56,6.22,143,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 11:15:00,64.29,41.79,59.16,24,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 11:15:00,39.75,70.82,67.64,164,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 11:30:00,30.25,61.06,18.68,164,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 11:30:00,70.2,61.03,104.68,106,Warning
DB-STAGE-01,Staging,eu-central-1,2024-06-01 11:30:00,41.74,40.79,23.81,118,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 11:30:00,34.6,40.32,79.8,14,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 11:45:00,5.0,49.22,73.89,164,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 11:45:00,67.72,70.13,39.12,52,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 11:45:00,63.64,60.37,159.8,113,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 11:45:00,5.0,77.44,31.0,55,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 12:00:00,55.24,58.19,7.49,120,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 12:00:00,52.87,78.47,5.39,77,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 12:00:00,64.1,65.09,23.46,146,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 12:00:00,71.86,47.33,136.18,20,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 12:15:00,20.21,53.11,209.46,119,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 12:15:00,48.38,49.16,20.18,191,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 12:15:00,90.77,62.86,25.46,62,Critical
DB-QA-01,QA,ap-south-1,2024-06-01 12:15:00,61.42,46.26,0.23,178,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 12:30:00,35.8,40.79,99.58,47,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 12:30:00,14.2,35.57,66.88,26,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 12:30:00,31.13,56.24,121.95,191,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 12:30:00,39.87,35.21,27.14,97,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 12:45:00,60.78,44.53,16.26,163,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 12:45:00,34.62,38.4,4.46,198,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 12:45:00,28.43,41.34,18.55,188,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 12:45:00,43.96,52.83,11.48,38,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 13:00:00,11.33,76.98,90.57,28,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 13:00:00,67.77,15.11,29.06,123,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 13:00:00,71.83,54.73,5.43,17,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 13:00:00,11.85,43.33,51.64,133,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 13:15:00,64.44,22.39,14.64,196,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 13:15:00,91.43,57.24,20.72,76,Critical
DB-STAGE-01,Staging,eu-central-1,2024-06-01 13:15:00,42.86,69.67,63.79,44,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 13:15:00,56.28,40.89,96.79,153,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 13:30:00,72.93,39.89,11.47,64,Warning
DB-PROD-02,Production,us-west-2,2024-06-01 13:30:00,6.6,81.47,111.59,56,Warning
DB-STAGE-01,Staging,eu-central-1,2024-06-01 13:30:00,10.03,72.09,87.18,128,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 13:30:00,55.13,33.8,26.33,146,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 13:45:00,5.0,46.83,148.26,95,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 13:45:00,32.9,58.86,41.71,68,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 13:45:00,42.28,57.25,27.69,124,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 13:45:00,74.03,56.32,60.01,34,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 14:00:00,27.54,48.73,90.07,13,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 14:00:00,62.06,72.27,86.46,137,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 14:00:00,43.92,40.32,16.01,26,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 14:00:00,38.62,16.33,63.68,126,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 14:15:00,72.41,78.56,54.69,147,Warning
DB-PROD-02,Production,us-west-2,2024-06-01 14:15:00,36.84,67.1,24.16,131,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 14:15:00,5.0,40.16,159.26,60,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 14:15:00,42.94,51.66,3.53,20,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 14:30:00,21.54,34.72,63.48,48,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 14:30:00,50.82,56.99,25.26,161,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 14:30:00,41.91,57.69,12.1,45,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 14:30:00,15.36,57.18,92.11,90,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 14:45:00,91.2,53.56,20.34,163,Critical
DB-PROD-02,Production,us-west-2,2024-06-01 14:45:00,5.0,49.74,21.66,138,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 14:45:00,79.5,54.29,28.53,48,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 14:45:00,59.71,46.08,163.64,26,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 15:00:00,38.51,64.31,10.24,71,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 15:00:00,65.69,65.34,64.39,34,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 15:00:00,45.34,66.02,59.07,118,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 15:00:00,33.79,56.74,44.37,154,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 15:15:00,45.43,35.85,123.54,23,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 15:15:00,47.15,46.19,10.7,81,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 15:15:00,62.58,53.79,93.07,155,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 15:15:00,83.82,60.1,52.52,161,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 15:30:00,31.31,50.36,4.0,46,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 15:30:00,5.0,74.47,25.92,48,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 15:30:00,48.25,26.05,78.2,162,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 15:30:00,42.91,80.7,27.83,117,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 15:45:00,41.65,70.98,139.9,132,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 15:45:00,29.65,76.14,32.68,194,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 15:45:00,7.89,63.52,25.4,167,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 15:45:00,6.36,28.62,66.89,186,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 16:00:00,33.99,42.93,16.93,77,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 16:00:00,53.34,79.21,16.24,190,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 16:00:00,39.31,58.51,24.25,97,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 16:00:00,27.03,67.03,44.4,48,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 16:15:00,86.19,45.04,9.14,61,Critical
DB-PROD-02,Production,us-west-2,2024-06-01 16:15:00,37.02,45.11,90.95,63,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 16:15:00,45.78,91.83,13.11,66,Critical
DB-QA-01,QA,ap-south-1,2024-06-01 16:15:00,27.54,46.67,75.61,15,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 16:30:00,50.31,72.91,12.19,18,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 16:30:00,32.53,37.4,70.99,71,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 16:30:00,84.71,45.01,68.89,98,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 16:30:00,70.95,81.94,4.8,114,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 16:45:00,10.12,44.26,32.38,162,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 16:45:00,50.13,51.99,66.44,133,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 16:45:00,12.41,44.04,64.26,99,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 16:45:00,51.02,55.58,5.8,37,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 17:00:00,5.0,41.95,44.87,195,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 17:00:00,77.3,67.31,39.24,42,Warning
